TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
Transporte e Mobilidade,Frota,qt1,Qual é o número de motocicletas em Salvador?,qt1.csv,codigo_v00.R,https://www.ibge.gov.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,padrao,Número de motocicletas em Salvador
Transporte e Mobilidade,Frota,qt2,Qual é o número de automóveis em Salvador?,qt2.csv,codigo_v01.R,https://www.ibge.gov.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,padrao,Número de automóveis em Salvador
Transporte e Mobilidade,Frota,qt3,Qual é o número de micro-ônibus e ônibus em Salvador?,qt3.csv,codigo_v02.R,https://www.ibge.gov.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,Barra lado a lado,Número de micro-ônibus e ônibus em Salvador
Transporte e Mobilidade,Frota,qt4,Qual é o número de caminhões e caminhonetas em Salvador?,qt4.csv,codigo_v03.R,https://www.ibge.gov.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,Barra lado a lado,Número de caminhões e caminhonetas em Salvador
Transporte e Mobilidade,Frota,qt5,Qual é o número de veículos totais em Salvador?,qt5.csv,codigo_v04.R,https://www.ibge.gov.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_dados_transp_mobilidade_frota,,anual,padrao,Número total de veículos em Salvador
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Transporte e Mobilidade,Multas,qt1,Qual o número total de multas notificadas em Salvador?,qt1.csv,codigo_v00.R,http://transalvador.salvador.ba.gov.br/transparencia/,(re)Conhecendo Salvador,,,anual,padrao,Número total de multas notificadas em Salvador
Transporte e Mobilidade,Multas,qt2,Qual a porcentagem de multas notificadas para cada tipo de veículo?,qt2.csv,codigo_v01.R,http://transalvador.salvador.ba.gov.br/transparencia/,(re)Conhecendo Salvador,,,anual,barra lado a lado,Porcentagem de multas notificadas por tipo de veículo
Transporte e Mobilidade,Multas,qt3,Qual a porcentagem de multas notificadas por tipo de equipamento?,qt3.csv,codigo_v02.R,http://transalvador.salvador.ba.gov.br/transparencia/,(re)Conhecendo Salvador,,,anual,barra lado a lado,Porcentagem de multas notificadas por tipo de equipamento
,,,,,,,,,,,,
Transporte e Mobilidade,Acidentes,qt1,Qual o número de acidentes com feridos em Salvador?,qt1.csv,codigo_v00.R,http://transalvador.salvador.ba.gov.br/conteudo/index.php/estatisticaAcidente/acidenteComVitima,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_transpmobilidade_acidentes,,anual,linha,Número de acidentes com feridos em Salvador
Transporte e Mobilidade,Acidentes,qt2,Qual o número de acidentes com mortos em Salvador?,qt2.csv,codigo_v01.R,http://transalvador.salvador.ba.gov.br/conteudo/index.php/estatisticaAcidente/acidenteComVitima,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_transpmobilidade_acidentes,,anual,linha,Número de acidentes com mortos em Salvador
Transporte e Mobilidade,Acidentes,qt3,Qual o número de acidentes por tipo em Salvador?,qt3.csv,codigo_v02.R,http://transalvador.salvador.ba.gov.br/conteudo/index.php/estatisticaAcidente/acidenteComVitima,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_transpmobilidade_acidentes,,anual,barra lado a lado,Número de acidentes por tipo em Salvador
,,,,,,,,,,,,
